1, 33
3, 33
5, 33
6, 33
7, 33
8, 33
9, 33
10, 33
11, 33
12, 33
36, 18
38, 18
39, 18
40, 18
41, 18
42, 18
43, 18
46, 18
47, 18
48, 18
50, 18
59, 37
61, 11
63, 11
64, 11
65, 11
66, 30
67, 30
68, 30
69, 30
70, 30
71, 30
72, 30
73, 30
74, 30
75, 30
76, 30
77, 2
81, 2
83, 10
84, 10
85, 10
86, 10
87, 31
88, 31
89, 31
90, 31
91, 19
95, 23
97, 23
104, 23
105, 23
107, 23
109, 23
111, 23
112, 1
113, 1
114, 1
115, 1
116, 1
117, 1
118, 1
119, 1
120, 1
121, 1
122, 1
123, 1
124, 1
125, 1
126, 1
128, 28
142, 12
143, 12
145, 12
151, 12
152, 12
161, 12
163, 12
176, 8
179, 21
182, 21
183, 21
184, 21
185, 21
188, 21
189, 29
190, 29
204, 7
205, 7
206, 7
207, 26
208, 26
209, 26
210, 26
211, 26
212, 26
213, 26
214, 26
215, 26
216, 26
217, 26
218, 26
219, 26
220, 26
221, 26
222, 26
223, 26
224, 26
226, 26
227, 26
228, 26
229, 26
230, 26
231, 26
232, 26
233, 26
236, 26
237, 26
238, 26
239, 26
240, 6
241, 6
242, 6
243, 6
244, 6
245, 6
246, 6
247, 6
248, 6
249, 6
261, 17
262, 17
263, 17
264, 17
265, 17
266, 17
267, 17
268, 17
269, 36
270, 36
271, 36
273, 36
274, 36
275, 36
276, 36
278, 27
279, 27
280, 27
281, 27
282, 27
283, 27
284, 27
288, 27
289, 27
290, 27
291, 27
293, 27
296, 27
298, 27
299, 27
300, 27
301, 27
303, 24
304, 24
305, 24
306, 24
307, 24
308, 24
309, 24
310, 24
311, 24
312, 24
313, 24
314, 24
315, 24
316, 24
317, 24
319, 24
320, 24
321, 24
322, 24
323, 24
324, 24
326, 24
327, 24
328, 24
329, 24
330, 24
331, 24
332, 24
334, 24
335, 24
336, 24
339, 24
340, 24
342, 24
343, 24
344, 24
346, 24
347, 24
348, 24
349, 24
350, 24
351, 24
352, 24
354, 24
355, 24
358, 24
359, 24
360, 24
361, 24
362, 24
363, 24
366, 24
367, 24
368, 24
370, 24
371, 24
373, 24
374, 24
375, 24
377, 24
378, 24
379, 24
382, 24
383, 24
386, 24
387, 24
388, 24
389, 24
392, 24
393, 24
394, 24
396, 24
397, 24
398, 24
399, 24
400, 24
401, 24
402, 24
404, 24
407, 24
408, 24
411, 24
412, 24
413, 24
414, 24
417, 24
419, 24
421, 24
423, 24
424, 24
425, 24
426, 24
427, 24
429, 9
434, 9
437, 9
442, 9
443, 9
444, 9
447, 9
448, 9
453, 9
454, 9
455, 9
456, 9
457, 9
458, 9
459, 9
460, 9
461, 9
462, 9
463, 9
471, 9
472, 9
473, 9
476, 9
477, 9
478, 9
479, 9
480, 39
481, 39
482, 39
483, 39
484, 39
485, 39
486, 39
487, 39
488, 39
489, 40
490, 40
491, 40
492, 40
493, 40
494, 40
495, 40
496, 40
497, 40
498, 40
499, 40
500, 40
501, 40
502, 40
503, 35
504, 35
505, 35
506, 35
507, 35
508, 35
509, 35
510, 35
511, 35
512, 35
513, 35
514, 35
515, 35
516, 35
517, 35
518, 35
519, 35
520, 35
521, 35
522, 35
523, 35
524, 35
525, 35
526, 3
527, 3
529, 3
530, 3
531, 3
532, 3
533, 3
534, 3
535, 3
536, 3
537, 3
538, 3
539, 34
540, 34
541, 34
542, 34
543, 34
544, 34
545, 34
546, 34
547, 34
548, 34
549, 34
550, 34
551, 34
552, 34
553, 34
554, 34
562, 16
563, 15
564, 15
565, 15
566, 15
567, 15
568, 15
569, 15
570, 15
571, 15
572, 15
573, 15
574, 15
575, 15
576, 15
577, 15
578, 15
579, 15
580, 15
581, 15
582, 15
583, 15
584, 15
585, 15
586, 15
587, 15
588, 15
589, 15
590, 15
608, 25
609, 25
610, 25
611, 25
612, 25
613, 13
615, 13
616, 13
